,Department,Title,Text,Vernehmlassung Day,Vernehmlassung Month,Vernehmlassung Year,Behoerde,SR Links,SR Numbers
14,EDI,"Teilrevision der Strahlenschutzverordnung, der Strahlenschutz-Ausbildungsverordnung und der Dosimetrieverordnung","Die geltenden Verordnungen über den Strahlenschutz (SR 814.501), die Ausbildungen und die erlaubten Tätigkeiten im Strahlenschutz (SR 814.501.261) und Personendosimetrie (SR 814.501.43) werden revidiert. Die Revision betrifft Themen aus den Aufsichtbereichen des BAG, der HSK und der Suva. Personenfreizügigkeit und geltende Regelungen der EU werden mitberücksichtigt. Gleichzeitig werden obsolete Departementserlasse aufgehoben.",1,12,2006,Departement oder Bundeskanzlei,"['/eli/cc/2017/503/de', '/eli/cc/2017/502/de', '/eli/cc/2017/504/de']","['814.501.261', '814.501', '814.501.43']"
15,EDI,Verordnung über die Versichertenkarte für die obligatorische Krankenpflegeversicherung (VVK),Diese neue Verordnung enthält die Ausführungsbestimmungen für die nach Artikel 42a KVG vorgesehene Versichertenkarte.,27,10,2006,Departement oder Bundeskanzlei,,
16,EDI,Änderung der Verordnung über die Krankenversicherung (KVV),"Änderungen im Bereich Rechnungsstellung, Tarifgestaltung, Medikamente und Prämien (Prämienbezahlung und Folgen des Zahlungsverzugs).",27,10,2006,Departement oder Bundeskanzlei,"['/eli/cc/2016/674/de', '/eli/cc/1995/3867_3867_3867/de']","['832.112.1', '832.102']"
17,EDI,Revision des Bundesgesetzes über die Unfallversicherung (UVG),Das geltende Bundesgesetz vom 20. März 1981 soll an die Erfordernisse einer modernen Sozialversicherung angepasst werden.,15,3,2007,Bundesrat,['/eli/cc/1982/1676_1676_1676/de'],['832.20']
18,EDI,Teilrevision des Bundesgesetzes über Arzneimittel und Medizinprodukte (Heilmittelgesetz) / 1. Etappe; Spitalpräparate,"Bei der Versorgung der Spitäler mit wichtigen Arzneimitteln bestehen derzeit gewisse Lücken. Eine Ursache sind die Bestimmungen des Heilmittelgesetzes, die nur teilweise den Bedürfnissen des Spitalsektors nach einer gesicherten Versorgung entsprechen. Die massgeblichen Bestimmungen sollen so angepasst bzw. ergänzt werden, dass die Versorgung der Spitalpatientinnen und Spitalpatienten mit Arzneimitteln deutlich vereinfacht wird.",22,12,2006,Departement oder Bundeskanzlei,['/eli/cc/2001/422/de'],['812.21']
19,EDI,"Verordnung über Diplome, Weiterbildung und Berufsausübung in den universitären Medizinalberufen; Verordnung des EDI über die anerkannten Studiengänge für Chiropraktik ausländischer universitärer Hochschulen","Das Medizinalberufegesetz (MedBG) wurde mit der Schlussabstimmung vom 23. Juni 2006 gutgeheissen und tritt (mit Ausnahme des Teils zum Register, Artikel 51 ff. MedBG) voraussichtlich auf den 1. September 2007 in Kraft. Insbesondere im Zusammenhang mit der Erteilung der eidgenössischen Diplome und der Anerkennung ausländischer Diplome und Weiterbildungstitel, sowie im Zusammenhang mit der Weiterbildung und der Akkreditierung der Weiterbildungsgänge musste eine entsprechende Verordnung erarbeitet werden, welche gleichzeitig mit dem MedBG in Kraft gesetzt werden soll.",19,2,2007,Departement oder Bundeskanzlei,,
20,EDI,Ratifikation der UNESCO-Konvention zur Bewahrung des immateriellen Kulturerbes,"Das von der UNESCO-Generalkonferenz am 17. Oktober 2003 verabschiedete ""Übereinkommen zur Bewahrung des immateriellen Kulturerbes"" soll von der Schweiz ratifiziert werden. Das Übereinkommen verpflichtet die Vertragsstaaten, die notwendigen Massnahmen zum Schutz ihres immateriellen Kulturerbes zu treffen und die Zusammenarbeit auf regionaler und internationaler Ebene zu fördern.",26,3,2007,Bundesrat,,
21,EDI,Ratifikation der UNESCO-Konvention über die kulturelle Vielfalt,"Ratifikation des von der UNESCO-Generalkonferenz am 20. Oktober 2005 verabschiedeten ""Übereinkommens zum Schutz und zur Förderung der Vielfalt kultureller Ausdrucksformen"". Das Übereinkommen schafft eine völkerrechtlich verbindliche Grundlage für das Recht aller Staaten auf eigenständige Kulturpolitik.",26,3,2007,Bundesrat,,
22,EJPD,Revision der eidgenössischen Zivilstandsverordnung im Hinblick auf das Inkrafttreten des Bundesgesetzes über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (PartG),Dokumente:,15,3,2006,Departement oder Bundeskanzlei,['/eli/cc/2004/362/de'],['211.112.2']
23,EJPD,Entwürfe und Berichte über die Änderung der Verordnungen 1 - 3 zum Schweizerischen Strafgesetzbuch und der Verordnung über das automatisierte Strafregister,"Die Eidgenössischen Räte verabschiedeten am 13. Dezember 2002 eine umfassende Änderung des Allgemeinen Teils des Schweizerischen Strafgesetzbuches, am 21. März 2003 eine analoge Revision des Militärstrafgesetzes und am 20. Juni 2003 eine neues Jugendstrafgesetz. Diese Revision des Strafrechts macht Änderungen der drei Verordnungen zum geltenden Strafgesetzbuch (VStGB 1, VStGB 2 und VStGB 3) und der Verordnung zum automatisierten Strafregister notwendig, die zusammen mit dem revidierten Strafgesetzbuch in Kraft gesetzt werden sollen.",30,4,2006,Departement oder Bundeskanzlei,,
24,EJPD,"Änderung der Verordnung über Waffen, Waffenzubehör und Munition",Die Bestimmungen des Bundesbeschlusses über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und an Dublin vom 17. Dezember 2004 betreffend Waffenrecht sind auf Verordndungsstufe umzusetzen.,17,6,2006,Bundesrat,['/eli/cc/2008/767/de'],['514.541']
25,EJPD,Anpassung der Verordnung über Massnahmen zur Wahrung der inneren Sicherheit (VWIS) im Rahmen des Gesetzgebungsprojekts BWIS I,"Die Anpassung der Verordnung stützt sich auf die Revisionsentwurf zum Bundesgesetz vom 21. März 1997 über Massnahmen zur Wahrung der inneren Sicherheit (BWIS; SR 120). Die vom Bundesrat am 17. August 2005 an das Parlament überwiesene Vorlage schafft die Grundlagen für die Bekämpfung von Gewalt im Zusammenhang mit Sportveranstaltungen und verbessert die Möglichkeiten zur Beschlagnahme von Propaganda, die zur Gewalt aufruft. Mit der Anpassung der Verordnung werden die Ausführungsbestimmungen zur oben erwähnten Gesetzesrevision in die VWIS integriert.",29,5,2006,Bundesrat,['/eli/cc/2001/284/de'],['120.2']
26,EJPD,"Verordnung über die Begrenzung der Zahl der Ausländer vom 6. Oktober 1986 (BVO), Änderung der Verteilschlüssel und Kontingentsfreigabe für die Dauer vom 1. November 2006 bis 31. Oktober 2007",Der Bundesrat hat an seiner Sitzung vom 24. Mai 2006 eine Änderung der Verteilschlüssel für Jahres- und Kurzaufenthalter aus Nicht-EU/EFTA-Staaten vorgeschlagen. Die Gesamthöchstzahlen sollen auf dem bisherigen Niveau belassen werden. Er lädt die Kantone zur Vernehmlassung ein.,31,8,2006,Bundesrat,['/eli/cc/1986/1791_1791_1791/de'],['823.21']
27,EJPD,Bundesgesetz über internationale Kindesentführungen und die Haager Übereinkommen zum Schutz von Kindern und Erwachsenen,Die Haager Kindes- und Erwachsenenschutzübereinkommen vom 19.10.1996 bzw. 13.1.2000 sind zu ratifizieren und umzusetzen. Kindesrückführungsverfahren im Rahmen des Haager Kindesentführungsübereinkommens vom 25.10.1980 und des Europäischen Sorgerechtsübereinkommens vom 20.5.1980 sind kindeswohlgerechter umzusetzen.,31,10,2006,Bundesrat,,
28,EJPD,Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit (BWIS) (Besondere Mittel der Informationsbeschaffung),Die heutigen gesetzlichen präventiven Möglichkeiten sind für die Bewältigung der aktuellen Gefahrenlage nicht mehr genügend. Deshalb soll nun einerseits schwergewichtig die Informationsbeschaffung verbessert werden. Anderseits soll die gesetzliche Grundlage für ein Tätigkeitsverbot geschaffen und gleichzeitig mit gezielten Massnahmen punktueller Natur die ausgewiesenen Lücken geschlossen werden.,15,10,2006,Bundesrat,['/eli/cc/1998/1546_1546_1546/de'],['120']
29,EJPD,Verordnung vom 19. Oktober 1977 über die Aufnahme von Kindern zur Pflege und zur Adoption (PAVO) - Revisionsbedürftigkeit,"Am 23. August 2006 hat der Bundesrat vom Expertenbericht Zatti (""Das Pflegekinderwesen in der Schweiz - Analyse, Qualitätsentwicklung und Professionalisierung"") Kenntnis genommen; in der Folge werden die Kantone angefragt, ob sie eine Revision der Pflegekinderverordnung für nötig erachten und- falls dies der Fall ist - welche konkreten Revisionsanliegen bestehen.",30,11,2006,Departement oder Bundeskanzlei,,
30,EJPD,E-Government-Strategie Schweiz,"Unter der Federführung des Informatikstrategieorgans Bund (ISB) entstanden unter aktivem Einbezug der Staatsschreiber sowie der E-Government-Verantwortlichen von Bund, Kantonen und Gemeinden die E-Government-Strategie Schweiz und eine öffentlich-rechtliche Rahmenvereinbarung über die E-Government-Zusammenarbeit. Ziel der E-Government-Strategie Schweiz ist es, die Verwaltungstätigkeit schweizweit dank dem Einsatz der Informations- und Kommunikationstechnik (IKT) so bürgernah, effizient und wirtschaftlich wie möglich zu gestalten. Sie soll dezentral, aber koordiniert und unter der Aufsicht eines Steuerungsgremiums und einer Geschäftsstelle erfolgen, welche in einer Rahmenvereinbarung über die E-Government-Zusammenarbeit von Bund und Kantonen definiert sind.",17,11,2006,Behördenkommission,,
31,EJPD,Einführung biometrischer Ausweise; Genehmigung und Umsetzung einer Weiterentwicklung des Schengen-Besitzstandes im Bereich Ausweis- und Ausländerrecht,Genehmigung der Schengen-Weiterentwicklung im Bereich biometrische Ausweise. Umsetzung in der Schweiz durch Schaffung der notwendigen gesetzlichen Voraussetzungen für die Herstellung biometrischer Pässe und Reiseausweise für Ausländer. Hierzu ist das geltende Ausweisgesetz vom 22. Juni 2001 und das Bundesgesetz vom 16. Dezember 2005 über die Ausländerinnen und Ausländer anzupassen.,8,1,2007,Bundesrat,"['/eli/cc/2007/758/de', '/eli/cc/2002/441/de']","['142.20', '143.1']"
32,EJPD,Patentanwaltsgesetz (PAG); Bundesgesetz über das Bundespatentgericht (Bundespatentgerichtsgesetz; PatGG),"Nach dem Entwurf zu einem Patentanwaltsgesetz ist das Führen bestimmter Berufsbezeichnungen nur Personen mit nachgewiesener Berufsqualifikation gestattet. Damit kann die fachliche Befähigung sichergestellt und Transparenz beim Dienstleistungsangebot geschaffen werden.

Der Entwurf zu einem Bundespatentgerichtsgesetz sieht die Schaffung eines nationalen Spezialgerichts vor, das bei Streitigkeiten in Patentsachen allein zuständig ist. Es gewährleistet als Vorinstanz des Bundesgerichts das erforderliche Fachwissen und einen effektiven Rechtsschutz für Erfindungen.",30,3,2007,Bundesrat,,
33,VBS,Überlassung der persönlichen Waffe; Abklärung allfälliger Hinderungsgründe,Die Anhörung betrifft die Optionen für das weitere Vorgehen.,15,3,2006,Departement oder Bundeskanzlei,"['/eli/cc/2003/754/de', '/eli/cc/2018/732/de']","['512.31', '514.10']"
34,VBS,Revision der Verordnung der Bundesversammlung über die Organisation der Armee (AO-Revision),"Die Revision der AO hat zwei Hauptanliegen: Zum einen gilt es, das Schwergewicht der Mittel auf Sicherungseinsätze (präventive Raumsicherung) auszurichten und diese gleichzeitig für die Unterstützung der zivilen Behörden bereitzuhalten. Teile der Armee sollen für den heute wenig wahrscheinlichen, aber nicht auszuschliessenden Fall eines militärischen Angriffs auf unser Land die Fähigkeit für das Gefecht der verbundenen Waffen auf hohem Niveau sicherstellen.",3,4,2006,Departement oder Bundeskanzlei,,
35,VBS,Bundesgesetz über das Bergführerwesen und das Anbieten von Risikoaktivitäten,"Der Vorentwurf regelt das gewerbsmässige Anbieten von geführten Bergtouren, geführten Abfahrten ausserhalb markierter Pisten und von bestimmten Risikoaktivitäten, d.h. Canyoning, River-Rafting und Bungee-Jumping. Er sieht eine Bewilligungspflicht vor für Bergführer und unter gewissen Bedingungen für Schneesportlehrer sowie für Anbieter der vom Gesetz erfassten Risikoaktivitäten.",23,6,2006,Bundesversammlung,,
36,VBS,Revision 09 der Militärgesetzgebung,Schaffung eines Ausbildungsobligatoriums im Ausland für Milizangehörige und eines Obligatoriums für Auslandeinsätze beim Militärpersonal. Verwesentlichung des parlamentarischen Genehmigungsverfahrens bei Einsätzen im Friedensförderungs- und Assistenzdienst. Überarbeitung der datenschutzrechtlichen Bestimmungen und Schaffung neuer formellgesetzlicher Grundlagen im Bereich des Datenschutzes. Schaffung gesetzlicher Grundlagen für die gewerbliche Tätigkeit der Verwaltungseinheiten des VBS.,1,12,2006,Bundesrat,"['/eli/cc/1995/4093_4093_4093/de', '/eli/cc/2017/217/de']","['510.10', '513.1']"
37,VBS,Ausführungserlasse zum Geoinformationsgesetz,"Unterbreitet werden neue oder revidierte Verordnungen zum Entwurf des Bundesgesetzes über Geoinformation (GeoIG), der vom Bundesrat am 6.9.06 verabschiedet wurde und zurzeit im Parlament behandelt wird. Das GeoIG soll zusammen mit den dazugehörigen Ausführungsverordnungen auf den 1. Januar 2008 in Kraft treten.",26,2,2007,Einheit der zentralen oder dezentralen Bundesverwaltung,,
38,EFD,Vernehmlassung über die Abgabe der Bundesbeteiligung am Unternehmen Swisscom AG,Der Bundesrat stellt mit dieser Vorlage die Abgabe der Bundesbeteiligung am Unternehmen Swisscom zur Diskussion. Dafür muss das Bundesgesetz vom 30. April 1997 über die Organisation der Telekommunikationsunternehmung des Bundes geändert werden.,6,3,2006,Bundesrat,,
39,EFD,"NFA - Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen: 1. Schlussbericht über die Festlegung des Ressourcen-, Lasten- und Härteausgleichs","Im Rahmen der Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA) beinhaltet der Schlussbericht die Dotierung des Ressourcen-, Lasten- und Härteausgleichs (Entwurf Bundesbeschluss zur Festlegung der Grundbeiträge des Ressourcen- und Lastenausgleichs, Entwurf Bundesbeschluss zur Festlegung des Härteausgleichs), die Festlegung der Höhe der Bundesbeiträge an die AHV und IV, die Festlegung der nicht werkgebundenen Anteile der Kantone am Ertrag der zweckgebundenen Mineralölsteuer und die Übergangsbestimmungen im IVG zur Regelung der beim Übergang zur NFA noch ausstehenden nachschüssigen Beiträge der IV an Behinderteninstitutionen (Bundesgesetz über die Änderung von Erlassen im Rahmen des Übergangs zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (Mantelerlass).",13,10,2006,Bundesrat,"['/eli/cc/1985/834_834_834/de', '/eli/cc/63/837_843_843/de', '/eli/cc/1959/827_857_845/de']","['725.116.2', '831.10', '831.20']"
40,EFD,NFA - Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen: 2. Entwurf der Verordnung über den Finanz- und Lastenausgleich (FiLaV),"Das neue Bundesgesetz vom 3. Oktober 2003 über den Finanz- und Lastenausgleich (FiLaG, SR 613.2) delegiert eine Vielzahl von Rechtsetzungsbefugnissen an den Bundesrat, u.a. die jährliche Anpassung der Mittel für den Ressourcen- und Lastenausgleich, die Verteilung der Mittel auf die ressourcenschwachen Kantone, die Kriterien für die Verteilung der Mittel aus dem Lastenausgleich an die Kantone und die Verteilung der Mittel im Rahmen des Härteausgleichs.",13,10,2006,Bundesrat,,
41,EFD,"Verordnung über die kollektiven Kapitalanlagen (Kollektivanlagenverordnung, KAV)","Ausführungsverordnung zum Bundesgesetz über die kollektiven Kapitalanlagen (KAG). Das KAG verfolgt folgende Ziele: 
1. Wiederherstellung der EU-Kompatibilität im Fondsbereich; 
2. Ausbau der Fondsgesetzgebung zu einer umfassenden Gesetzgebung über die kollektiven Kapitalanlagen; 
3. Attraktivitätssteigerung sowie die Förderung der Wettbewerbsfähigkeit des schweizerischen Fondsplatzes.",20,8,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,,
42,EFD,Bundesgesetz über die Abgabe für die Benützung der Nationalstrassen,"Grundlage für die Erhebung der Nationalstrassenabgabe bildet Artikel 86 Absatz 2 der Bundesverfassung (BV). Diese Bestimmung wurde im Gegensatz zur alten BV bewusst weniger detailliert formuliert. Details sollen auf Gesetzesstufe geregelt werden. Der vorliegende Gesetzesentwurf kommt diesem Anliegen nach und ersetzt die Übergangsbestimmungen in der BV sowie die Nationalstrassenabgabe-Verordnung vom 26. Oktober 1994. Er regelt beispielsweise das Erhebungssystem (Vignette) oder die Abgabenhöhe, die unveränderte 40 Franken beträgt. Damit übernimmt das Nationalstrassenabgabegesetz mehrheitlich die heutigen Bestimmungen. Um verstärkt auftretenden Missbräuchen entgegenzutreten, wird der Bussenbetrag bei einer Widerhandlung auf 200 Franken verdoppelt.",31,1,2007,Bundesrat,,
43,EFD,Änderung des Bundesgesetzes über die Tabakbesteuerung,"Die Steuerstruktur aller anderen Tabakfabrikate als Zigaretten (Zigarren, Zigarillos, Schnitttabak) wird EG-kompatibel ausgestaltet und ihre Steuerbelastung leicht erhöht. Die Steuerbelastung von Feinschnitttabak wird markant heraufgesetzt und dafür auf die Besteuerung von Zigarettenpapier verzichtet. Ausserdem werden die Einführung von zugelassenen Steuerlagern beantragt, die Voraussetzungen zur Rückerstattung der Tabaksteuer für im Inland hergestellte und eingeführte Tabakfabrikate vereinheitlicht, die Möglichkeit des Erlasses der Tabaksteuer geschaffen und die Festlegung von Mindestverkaufspreisen für Zigaretten zur Diskussion gestellt.",6,12,2006,Bundesrat,['/eli/cc/1969/645_665_663/de'],['641.31']
44,EFD,Änderung der Schwerverkehrsabgabeverordnung (SVAV),"Die vorliegenden Änderungen stehen im Zusammenhang mit der parallel laufenden Anpassung des Schwerverkehrsabgabegesetzes. Die Verordnungsänderungen dienen vornehmlich dazu, Wettbewerbsverzerrungen zu reduzieren, die durch das Verhalten zahlungsunwilliger inländischer Transportunternehmen entstehen.",31,10,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,['/eli/cc/2000/192/de'],['641.811']
45,EFD,Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Verordnung (EG) Nr. 2007/2004 zur Errichtung der Europäischen Agentur für die operative Zusammenarbeit an den Aussengrenzen (FRONTEX),Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Verordnung (EG) Nr. 2007/2004 zur Errichtung FRONTEX. Hierzu ist das Zollgesetz vom 18. März 2005 (ZG) anzupassen.,15,3,2007,Bundesrat,,
46,EFD,Systementscheid bei der Ehepaarbesteuerung,"Der Bundesrat will klären, ob Ehepaare weiterhin gemeinsam oder neu getrennt besteuert werden sollen. Ein solcher Systementscheid drängt sich wegen gegensätzlicher parlamentarischer Vorstösse auf. Gleichzeitig will der Bundesrat mit dem Systementscheid der gesellschaftlichen Veränderung Rechnung tragen. Er schickt darum vier Modelle in die Vernehmlassung. Diese erfüllen weitestgehend die Vorgaben des Bundesgerichtes bezüglich Belastung der verschiedenen Kategorien von Steuerzahlenden durch die direkte Bundessteuer. Nach der Vernehmlassung sollen dem Parlament die notwendigen Grundlagen unterbreitet werden, damit es einen Grundsatzentscheid über die Besteuerungsform für Ehepaare treffen kann. Eine Systemänderung kann sich positiv auf den Arbeitsmarkt und dadurch auf das Wirtschaftswachstum auswirken.",30,6,2007,Bundesrat,,
47,UVEK,"Verordnung über die Schifffahrt auf schweizerischen Gewässern (Binnenschifffahrtsverordnung,  BSV) / Verordnung über die Abgasemissionen von Schiffsmotoren auf schweizerischen Gewässern (SAV)",Die BSV enthält die Ausführungsvorschriften des Bundesgesetzes über die Binnenschifffahrt. Infolge verschiedener Vollzugsprobleme und Weiterentwicklung internationalen Rechts (Sportbootrichtlinie 94/25 EG) ist eine teilweise Anpassung der BSV notwendig. Mit einer Totalrevision wird die SAV aktualisiert und dem Stand der Technik angepasst (u.a. Sportbootrichtline 94/25 EG).,2,6,2006,Departement oder Bundeskanzlei,['/eli/cc/1979/337_337_337/de'],['747.201.1']
48,UVEK,Änderung der FDV betreffend die Grundversorgung,"Die Modifikation der Fernmeldedienstverordnung bezweckt vorrangig den Umfang der Grundversorgung hinsichtlich der Erteilung der nächsten Grundversorgungskonzession per 1. Januar 2008 anzupassen. Es ist vorgesehen, eine Pflicht zur Bereitstellung eines Breitband-Internetzugangs einzuführen, gewisse Preisobergrenzen anzupassen und den Auskunftsdienst zu den Teilnehmerverzeichnissen aus dem Umfang der Grundversorgungspflichten zu streichen. Ausserdem werden einige Verbesserungen der Grundversorgungsdienste für Hörbehinderte (SMS-Vermittlungsdienst) und für Menschen mit eingeschränkter Mobilität (Verzeichnis- und Vermittlungsdienst) vorgeschlagen.",31,5,2006,Bundesrat,['/eli/cc/2007/166/de'],['784.101.1']
49,UVEK,Konzept Bär Schweiz,"Das Konzept Bär Schweiz ist eine Vollzugshilfe und erläutert die gesetzlichen Bestimmungen für den Umgang mit Bären in der Schweiz (Schutz und Fang von Bären, Schadenentschädigung, Schadenverhütung etc.).",14,4,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,,
50,UVEK,Änderung Energieverordnung und Verordnung UVEK über Angabe auf der Energieetikette von neuen Personenwagen,Die vorgeschlagenen Änderungen betreffend im Wesentlichen die Anpassung der Vorschriften über die Energieetikette für Personenwagen an die technische Entwicklung und die Vollzugserfahrung sowie das Einführen der Energieetiketten für Raumklimageräte in Anpassung an das EU-Recht.,21,4,2006,Departement oder Bundeskanzlei,"['/eli/cc/2018/779/de', '/eli/cc/2017/763/de']","['730.011.1', '730.01']"
51,UVEK,Änderungen von verschiedenen Verordnungen des Strassenverkehrsrechts,"Verordnungen über die Kontrolle des Strassenverkehrs (SKV) und über die Zulassung der Fahrzeugführerinnen und Fahrzeugführer zum berufsmässigen Transport von Personen und Gütern auf der Strasse (CZV). Das Bundesamt für Strassen (ASTRA) schickt den Kantonen sowie interessierten Organisationen und Verbänden ein Paket von Neuerungen im Strassenverkehr zur Anhörung. Diese betreffen u. a. die Ausbildung von Berufschauffeuren, die Kontrolle des Strassenverkehrs, die Ausnahmetransporte, die Haftpflichtversicherung und die auf 45 km/h beschränkten Fahrzeuge der Kategorie F.",31,7,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,"['/eli/cc/1979/1961_1961_1961/de', '/eli/cc/1981/480_480_480/de', '/eli/cc/1976/2423_2423_2423/de', '/eli/cc/2002/685/de', '/eli/cc/1995/4031_4031_4031/de', '/eli/cc/1959/1271_1321_1317/de', '/eli/cc/1962/1364_1409_1420/de', '/eli/cc/1995/4425_4425_4425/de']","['741.21', '822.222', '741.51', '741.621', '822.221', '741.31', '741.11', '741.41']"
52,UVEK,Öffentliches Register über die Freisetzung von Schadstoffen,"Informationen über die Freisetzung bestimmter Schadstoffe und über den Transfer bestimmter Abfälle sollen künftig öffentlich zugänglich sein. Meldepflichtig sind rund 1000 grosse und mittlere Betriebe, wenn sie Schadstoffe freisetzen, die über einen festgesetzten Schwellenwert hinausgehen. Eine vom UVEK in die Anhörung gegebene Verordnung will die nötige Rechtsgrundlage für ein solches öffentliches Register schaffen. Damit setzt die Schweiz eine internationale Verpflichtung um. Erfahrungen im Ausland zeigen, dass sich mit solchen Registern die Freisetzung von Schadstoffen verringern lässt.",31,8,2006,Departement oder Bundeskanzlei,,
53,UVEK,Seilbahnverordnung zum Seilbahngesetz,"Die Seilbahnverordnung enthält die Bestimmungen, die für den Vollzug des Seilbahngesetzes erforderlich sind. Es sind dies Bestimmungen über Planung, Bau, Betrieb und Aufsicht von Seilbahnen.",4,8,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,['/eli/cc/1986/632_632_632/de'],['743.12']
54,UVEK,Totalrevision der Radio- und Fernsehverordnung (RTVV),Ausführungsbestimmungen zum neuen Bundesgesetz über Radio und Fernsehen (RTVG).,18,8,2006,Departement oder Bundeskanzlei,,
55,UVEK,02.418 Pa.Iv. Hegetschweiler: Fluglärm. Verfahrensgarantien,"Die Initiative verlangt, dass Minderwertentschädigungen für Fluglärm von den betroffenen Eigentümern in einem einfachen Verfahren geltend gemacht werden können und dass sie nicht an Verjährungseinreden scheitern. Dazu soll das Enteignungsgesetz (SR 711) sowie das Luftfahrtgesetz (SR 748) geändert werden.",30,10,2006,Bundesversammlung,['/eli/cc/1950/471_491_479/de'],['748.0']
56,UVEK,Änderung FMG: Anpassung der Vollzugsbestimmungen des Bundesrates,Die Vollzugsbestimmungen des Fernmeldegesetzes (FMG) werden aufgrund der vom Parlament am 24. März 2006 beschlossenen Änderungen dieses Gesetzes angepasst.,15,9,2006,Departement oder Bundeskanzlei,"['/eli/cc/2020/1024/de', '/eli/cc/2016/24/de', '/eli/cc/2007/166/de', '/eli/cc/1997/2879_2879_2879/de']","['784.102.1', '784.101.2', '784.101.1', '784.104']"
57,UVEK,Änderung FMG: Anpassung der Verordnung der ComCom,Die Verordnung der Eidgenössischen Kommunikationskommission vom 17. November 1997 betreffend das Fernmeldegesetz wird aufgrund der am 24. März 2006 vom Parlament beschlossenen Änderung dieses Gesetzes angepasst.,15,9,2006,Behördenkommission,['/eli/cc/2020/1021/de'],['784.101.112']
58,UVEK,Erste Revision der Chemikalien-Risikoreduktions-Verordnung,"Anlass für die erste Änderung der ChemRRV ist die Entwicklung in der EU. Bis Juni 2006 sind zu vier Erlassen der EG bereits zehn Änderungen beschlossen worden, welche in der geltenden ChemRRV nicht mitberücksichtigt sind. Es handelt sich um drei Änderungen der Richtlinie 76/769/EWG über Beschränkungen des Inverkehrbringens und der Verwendung gewisser gefährlicher Stoffe und Zubereitungen, zwei Entscheidungen zur Änderung der Richtlinie 2000/53/EG über Altfahrzeuge, vier Entscheidungen zur Änderung der Richtlinie 2002/95/EG über Elektro- und Elektronikgeräte und eine Änderung der Verordnung (EG) Nr. 648/2004 über Detergenzien. Um zu verhindern, dass Handelshemmnisse entstehen, soll die ChemRRV an die neuen Erlasse der EG angepasst werden.",11,9,2006,Departement oder Bundeskanzlei,['/eli/cc/2005/478/de'],['814.81']
59,UVEK,Gesetzgebungsvorlage für den Güterverkehr,"Mit dem Bundesgesetz über die Verlagerung des alpenquerenden Güterschwerverkehrs von der Strasse auf die Schiene (Güterverkehrsverlagerungsgesetz) wird ein unbefristetes Ausführungsgesetz zu Art. 84 Bundesverfassung vorgelegt. Im neuen Gesetz werden das Ziel der Verlagerung des alpenquerenden Güterverkehrs und die Rechtsgrundlagen für die notwendigen Massnahmen zu dessen Erreichung formuliert. Gleichzeitig werden im Gütertransportgesetz, im Bundesgesetz über die Anschlussgleise und im Eisenbahnhaftpflichtrecht verschiedene Anpassungen beantragt.",16,10,2006,Bundesrat,,
60,UVEK,Revision des Gefahrgutrechts,Anpassung an das ADR 07.,30,9,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,,
61,UVEK,"Sachplan Infrastruktur der Luftfahrt (SIL), Teil I11 B6a I Gebirgslandeplätze. Anhörung zum Entwurf vom 6. Juli 2006","Am 18. Oktober 2000 verabschiedete der Bundesrat die konzeptionellen Teile I bis III B des Sachplans Infrastruktur der Luftfahrt (SIL). Darin erteilte er den Auftrag zur Überprüfung des Netzes der Gebirgslandeplätze und der Grundsatzfrage, ob und in welchem Ausmass das Heliskiing weiterbetrieben werden soll. Der nun vorliegende Entwurf des Konzeptteils Gebirgslandeplätze legt im Wesentlichen die Grundsätze und Spielregeln für die konkrete Überprüfung der einzelnen Gebirgslandeplätze im Rahmen von Koordinationsprozessen auf Stufe Objektblatt fest.",1,10,2006,Einheit der zentralen oder dezentralen Bundesverwaltung,,
62,UVEK,Ergänzung Emissionsplan 2015,"Der aktuelle Emissionsplan ist mit den noch fehlenden Daten zu ergänzen. Einige Daten werden  korrigiert oder gelöscht, weil sie irrtümlicherweise darin enthalten sind.",21,10,2006,Departement oder Bundeskanzlei,,
